,frog,bird,dog,car,step,murmullo
1,"[[171 0.5 -137]
 [99 0.5 -133]
 [120 0.5 -128]
 [154 0.5 -75]
 [59 0.5 -180]]",[[171 4.5 -165]],[],[],[[64 0.5 -35]],[]
2,"[[76 0.5 -101]
 [98 0.5 -166]
 [169 0.5 -130]
 [164 0.5 -81]]","[[98 9.5 -86]
 [43 9.5 -32]]",[[236 0.5 -249]],[],[[24 0.5 -3]],[]
3,"[[119 0.5 -122]
 [77 0.5 -114]
 [150 0.5 -152]
 [108 0.5 -82]]","[[123 0.5 -100]
 [161 0.5 -94]
 [114 0.5 -84]]",[],[],[],[[202 1.5 -34]]
4,"[[130 0.5 -98]
 [93 0.5 -163]]","[[89 15.5 -99]
 [47 15.5 -185]]",[[15 0.5 -13]],[],[],[]
5,"[[128 0.5 -174]
 [97 0.5 -105]
 [162 0.5 -105]
 [152 0.5 -121]]","[[111 3.5 -164]
 [143 3.5 -156]
 [182 3.5 -213]]",[[20 0.5 -238]],[],[],[]
6,"[[91 0.5 -93]
 [89 0.5 -111]
 [100 0.5 -131]
 [171 0.5 -164]]","[[82 9.5 -119]
 [58 9.5 -189]]",[],[],[],[]
7,"[[93 0.5 -111]
 [89 0.5 -140]
 [116 0.5 -173]]","[[129 10.5 -173]
 [109 10.5 -141]]",[],[],[],[]
8,"[[128 0.5 -151]
 [127 0.5 -113]]",[[83 5.5 -93]],[],[],[],[]
9,"[[131 0.5 -147]
 [139 0.5 -123]]","[[99 16.5 -107]
 [152 16.5 -110]
 [166 16.5 -134]]",[[229 0.5 -12]],[],[],[]
10,"[[80 0.5 -144]
 [131 0.5 -77]
 [140 0.5 -87]]",[[147 16.5 -89]],[[249 0.5 -243]],[],[],[]
11,"[[118 0.5 -132]
 [85 0.5 -117]]","[[76 2.5 -145]
 [92 2.5 -119]
 [52 2.5 -177]]",[[246 0.5 -244]],[],[],[]
12,"[[112 0.5 -99]
 [130 0.5 -134]
 [139 0.5 -107]
 [152 0.5 -140]]","[[129 3.5 -87]
 [211 3.5 -192]]",[],[],[],[]
13,"[[76 0.5 -91]
 [98 0.5 -169]
 [50 0.5 -62]]","[[149 10.5 -138]
 [96 10.5 -169]
 [103 10.5 -87]]",[[216 0.5 -25]],[],[],[[42 1.5 -176]]
14,"[[116 0.5 -108]
 [167 0.5 -131]
 [97 0.5 -171]]","[[97 12.5 -91]
 [188 12.5 -45]]",[[21 0.5 -11]],[],[],[]
15,"[[165 0.5 -166]
 [105 0.5 -84]]","[[127 10.5 -84]
 [92 10.5 -135]
 [45 10.5 -189]]",[[2 0.5 -14]],[[12 1.0 -238]],[],[]
16,"[[78 0.5 -111]
 [87 0.5 -90]]",[[171 6.5 -142]],[[55 0.5 -45]],[],[[22 0.5 -10]],[]
17,"[[122 0.5 -158]
 [101 0.5 -152]]","[[139 2.5 -81]
 [109 2.5 -90]]",[],[],[],[[50 1.5 -46]]
18,"[[157 0.5 -151]
 [139 0.5 -163]
 [85 0.5 -94]
 [29 0.5 -187]]","[[139 0.5 -103]
 [112 0.5 -140]
 [55 0.5 -55]]",[],[],[],[]
19,"[[108 0.5 -171]
 [127 0.5 -114]]","[[171 17.5 -165]
 [157 17.5 -90]
 [50 17.5 -28]]",[[230 0.5 -235]],[],[],[]
20,"[[91 0.5 -158]
 [146 0.5 -77]]","[[112 1.5 -148]
 [156 1.5 -157]]",[[10 0.5 -233]],[],[],[]
21,"[[152 0.5 -81]
 [82 0.5 -94]]","[[80 0.5 -111]
 [206 0.5 -201]]",[],[],[],[]
22,"[[75 0.5 -139]
 [116 0.5 -135]
 [109 0.5 -84]]",[[112 3.5 -146]],[[237 0.5 -246]],[],[[25 0.5 -34]],[[12 1.5 -17]]
23,"[[148 0.5 -135]
 [103 0.5 -173]]","[[79 16.5 -157]
 [144 16.5 -115]
 [64 16.5 -61]]",[[232 0.5 -5]],[],[],[]
24,"[[154 0.5 -151]
 [171 0.5 -138]]","[[131 10.5 -140]
 [96 10.5 -142]
 [207 10.5 -211]]",[],[],[],[]
25,"[[99 0.5 -75]
 [85 0.5 -172]]","[[78 19.5 -145]
 [216 19.5 -224]]",[],[],[],[]
26,"[[154 0.5 -92]
 [89 0.5 -99]
 [165 0.5 -146]
 [106 0.5 -159]]",[[78 2.5 -91]],[],[],[],[]
27,"[[80 0.5 -78]
 [76 0.5 -123]
 [118 0.5 -89]]","[[115 18.5 -90]
 [114 18.5 -99]]",[[7 0.5 -18]],[],[],[]
28,"[[89 0.5 -96]
 [134 0.5 -159]
 [79 0.5 -128]]","[[161 11.5 -150]
 [132 11.5 -143]
 [25 11.5 -63]
 [229 11.5 -1]]",[],[],[],[[16 1.5 -5]]
29,"[[157 0.5 -93]
 [111 0.5 -103]
 [121 0.5 -83]]","[[94 5.5 -164]
 [113 5.5 -98]]",[[227 0.5 -243]],[],[[219 0.5 -59]],[]
30,"[[101 0.5 -110]
 [86 0.5 -99]]","[[120 10.5 -142]
 [37 10.5 -70]]",[],[],[[227 0.5 -226]],[]
31,"[[154 0.5 -166]
 [118 0.5 -113]]","[[159 14.5 -147]
 [98 14.5 -150]
 [152 14.5 -137]]",[],[],[],[]
32,"[[108 0.5 -138]
 [133 0.5 -142]]","[[163 13.5 -119]
 [84 13.5 -78]]",[[62 0.5 -208]],[],[],[]
33,"[[167 0.5 -77]
 [156 0.5 -133]
 [153 0.5 -106]]","[[118 4.5 -117]
 [137 4.5 -170]
 [101 4.5 -122]]",[],[],[],[]
